unique_id,cm.DESWC,ner.entity.cnt,cm.LDTTRa,message.depth,cm.LDTTRc,cm.LSAGN,liwc.Qmark,message.sim.prev,cm.LDVOCD,liwc.money,cm.DESPL,message.sim.next,message.reply.cnt,cm.DESSC,lsa.similarity,cm.DESSL,cm.DESWLsyd,liwc.i,cm.RDFKGL,cm.SMCAUSwn,Words >6 letters,Total pronouns,Personal pronouns,First-person plural,Second person,Third-person singular,Third-person plural,Indefinite pronouns,Articles,Common verbs,Past tense,Present tense,Future tense,Adverbs,Prepositions,Conjunctions,Negations,Quantifiers,Numbers,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,adjacent_refs,anaphoric_refs,adjectives,adverbs,content_words,flesch,function_words,nouns,paragraphs,pronouns,sentences,sentences_per_paragraph,syllables_per_content_word,verbs,words,words_per_sentence,add_neg_conn_incidence,add_pos_conn_incidence,cau_neg_conn_incidence,cau_pos_conn_incidence,conn_incidence,log_neg_conn_incidence,log_pos_conn_incidence,tmp_neg_conn_incidence,tmp_pos_conn_incidence,mod_per_np,np_incidence,words_before_main_verb,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,arg_ovl,stem_ovl,cw_freq,min_cw_freq,hypernyms_verbs,and_incidence,if_incidence,logic_operators,negation_incidence,or_incidence,personal_pronouns,pronouns_per_np,ttr,classe
759,44,0,0.714,1,0.429,0.733,0,0.457,0.429,0,1,0.677,0,1,0,46,1.11,0,42.559,6.5,8,0,0,0,0,1,0,1,4,8,2,3,0,1,8,2,0,1,0,6.833,1,2.8,12.286,0,0,136.364,22.727,568.182,36.898,431.818,227.273,1,113.636,1,1,2.6,181.818,44,44,0,45.455,0,45.455,90.909,0,0,0,0,0.278,409.091,4,0,0,0,0,0,225966.16,0,0.125,45.455,0,45.455,0,0,22.727,0.056,0.773,2
762,11,0,0.923,4,0.692,0.61,0,0.677,0.692,0,1,0.576,0,1,0,12,1.435,1,67.455,3.333,3,1,1,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,9.5,0,0,90.909,0,545.455,68.47,454.545,272.727,1,272.727,1,1,2.833,181.818,11,11,0,0,0,0,0,0,0,0,0,0.2,454.545,2,0,0,0,0,0,9995.833,0,1,0,0,0,0,0,0,0.2,1,1
768,91,3,0.573,3,0.316,0.645,0,0.576,0.316,0,3.333,0.731,0,9,0.401,11,1.211,0,14.549,27.875,33,8,8,0,0,1,0,3,8,16,0,7,2,6,12,5,0,3,0,2.857,3.5,1.219,12.143,0.5,1.833,76.923,54.945,670.33,20.886,318.681,351.648,2,65.934,7,3.5,3.066,186.813,91,13,21.978,43.956,0,54.945,109.89,0,32.967,0,10.989,0.384,328.414,5.714,0.833,1,1.833,1.333,2.667,1186819.262,2931.286,0.471,10.989,0,21.978,0,10.989,21.978,0.038,0.714,2
769,45,0,0.837,1,0.51,0.687,0,0.731,0.51,0,2,0.854,0,2,0.658,23.5,1.24,0,23.823,26,20,0,0,1,0,1,1,1,3,9,0,4,0,3,6,2,0,1,0,2,0,3.333,7.909,0,0,22.222,22.222,555.556,19.198,422.222,266.667,1,111.111,2,2,3.28,244.444,45,22.5,0,44.444,0,111.111,155.556,0,66.667,0,0,0.136,364.183,3.5,2,2,1,2,1,147470.32,0,0.7,22.222,0,22.222,0,0,0,0,0.867,2
771,94,2,0.688,1,0.44,0.728,0,0.854,0.44,0,2,0.63,0,2,0.613,49.5,1.229,0,6.893,34.158,26,0,0,3,0,0,0,0,10,19,3,4,0,7,12,4,1,1,0,3.833,1,3.091,9.056,0,0,63.83,74.468,585.106,13.93,404.255,234.043,1,117.021,2,2,2.818,212.766,94,47,0,74.468,0,74.468,127.66,0,74.468,0,10.638,0.34,283.537,6,0,1,2,0,2,293476.655,643.5,0.211,42.553,0,53.191,10.638,0,0,0,0.766,2
779,15,1,0.762,4,0.571,0.647,0,0.63,0.571,0,3,0.625,0,3,0.193,5.667,1.065,0,34.403,0.333,5,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,2.167,3.333,0,0,0,62.5,625,68.934,375,375,1,125,3,3,2.7,187.5,16,5.333,0,62.5,0,0,62.5,0,0,0,0,0,119.048,0.333,0,0,0,0,0,195733.1,243469,2,62.5,0,62.5,0,0,0,0,0.938,0
780,11,2,0.706,4,0.588,0.553,0,0.625,0.588,0,3,0.73,0,3,0.374,4.333,0.844,0,59.855,10,2,3,3,0,0,0,0,0,1,1,0,1,0,1,2,0,0,1,0,0,5,0.4,12,0,0,0,272.727,818.182,74.052,181.818,454.545,1,0,2,2,2.222,90.909,11,5.5,0,0,0,90.909,90.909,0,0,0,0,0.25,222.222,2.5,0,0,0,0,0,374537.667,358243,0,0,0,0,0,0,0,0,1,0
782,28,5,0.778,4,0.583,0.589,1,0.73,0.583,0,5,0.525,0,5,0.423,6,1.1,0,37.288,0,9,7,7,0,0,0,0,0,1,2,1,0,0,1,4,2,0,0,1,0,4,1.214,17.5,0,0,34.483,68.966,655.172,40.651,310.345,482.759,1,68.966,3,3,2.842,68.966,29,9.667,0,68.966,0,68.966,172.414,0,34.483,0,34.483,0.111,298.99,0.333,0,0,0,0,0,103672.316,2539.667,0,68.966,0,68.966,0,0,0,0,0.931,3
793,38,0,0.729,5,0.458,0.604,0,0.525,0.458,1,2,0.799,0,2,0.395,19.5,1.541,0,-0.268,0,14,0,0,0,0,0,0,1,6,4,1,2,0,4,7,0,0,1,0,3,5.5,2.818,12.667,0,0,27.027,135.135,567.568,1.409,432.432,297.297,1,54.054,2,2,3.762,108.108,37,18.5,0,81.081,0,81.081,135.135,0,54.054,0,0,0.417,171.429,12,0,0,0,0,0,416089.714,358258,0.5,0,0,0,0,0,0,0,0.919,2
799,35,2,0.763,4,0.526,0.598,0,0.799,0.526,0,1,0.588,0,1,0,35,1.65,0,-11.484,19,14,2,2,0,0,0,1,0,4,1,0,1,0,1,8,2,0,1,0,3.333,5,1.364,12,0,0,171.429,28.571,542.857,-23.57,457.143,314.286,1,85.714,1,1,4.053,28.571,35,35,0,57.143,0,85.714,142.857,0,85.714,0,0,0.364,314.286,27,0,0,0,0,0,247170.789,0,0,57.143,0,57.143,0,0,28.571,0.091,0.829,2
